location_id,latitude,longitude,state,country
Cau Dien,21.03929,105.76659,Hanoi,Vietnam
Da Nang,16.048587,108.207097,Da Nang,Vietnam
Di An,10.90682,106.7694,Tinh Binh Duong,Vietnam
Haiphong,20.86481,106.68345,Thanh Pho Hai Phong,Vietnam
Hai BaTrung,21.01341,105.84772,Hanoi,Vietnam
Hanoi,21.021938,105.81881,Hanoi,Vietnam
Ha Dong,20.97136,105.77876,Hanoi,Vietnam
Ha Tinh,18.34282,105.90569,Tinh Ha Tinh,Vietnam
Hoan Kiem,21.022573,105.892763,Hanoi,Vietnam
Ho Chi Minh City,10.782773,106.700035,Ho Chi Minh City,Vietnam
Long Khanh,10.92655,107.24783,Tinh Dong Nai,Vietnam
Phuong Phu Thuong,21.08511,105.80535,Hanoi,Vietnam
Quan Ba,10.77494,106.68628,Ho Chi Minh City,Vietnam
Quan Phu Nhuan,10.79475,106.6763,Ho Chi Minh City,Vietnam
Tay Ho,21.06895,105.81053,Hanoi,Vietnam
Thach That,21.014693,105.529948,Hanoi,Vietnam
Thu Duc,10.84863,106.77209,Ho Chi Minh City,Vietnam
Vung Tau,10.34599,107.08426,Tinh Ba Ria-Vung Tau,Vietnam
